County FIPS,County Name,County Population
1000,"Alabama, AL",5108468
1001,"Autauga County, AL",60342
1003,"Baldwin County, AL",253507
1005,"Barbour County, AL",24585
1007,"Bibb County, AL",21868
1009,"Blount County, AL",59816
1011,"Bullock County, AL",9897
1013,"Butler County, AL",18382
1015,"Calhoun County, AL",116429
1017,"Chambers County, AL",34079
1019,"Cherokee County, AL",25666
1021,"Chilton County, AL",46431
1023,"Choctaw County, AL",12252
1025,"Clarke County, AL",22337
1027,"Clay County, AL",14111
1029,"Cleburne County, AL",15639
1031,"Coffee County, AL",55643
1033,"Colbert County, AL",58361
1035,"Conecuh County, AL",11174
1037,"Coosa County, AL",10268
1039,"Covington County, AL",37952
1041,"Crenshaw County, AL",13101
1043,"Cullman County, AL",92016
1045,"Dale County, AL",49871
1047,"Dallas County, AL",36165
1049,"DeKalb County, AL",72569
1051,"Elmore County, AL",90441
1053,"Escambia County, AL",36558
1055,"Etowah County, AL",103241
1057,"Fayette County, AL",15967
1059,"Franklin County, AL",31802
1061,"Geneva County, AL",26988
1063,"Greene County, AL",7341
1065,"Hale County, AL",14888
1067,"Henry County, AL",17899
1069,"Houston County, AL",108462
1071,"Jackson County, AL",53467
1073,"Jefferson County, AL",662895
1075,"Lamar County, AL",13661
1077,"Lauderdale County, AL",96814
1079,"Lawrence County, AL",33502
1081,"Lee County, AL",183215
1083,"Limestone County, AL",114654
1085,"Lowndes County, AL",9717
1087,"Macon County, AL",18370
1089,"Madison County, AL",412600
1091,"Marengo County, AL",18684
1093,"Marion County, AL",29244
1095,"Marshall County, AL",100756
1097,"Mobile County, AL",411640
1099,"Monroe County, AL",19229
1101,"Montgomery County, AL",224980
1103,"Morgan County, AL",125133
1105,"Perry County, AL",7738
1107,"Pickens County, AL",18688
1109,"Pike County, AL",33137
1111,"Randolph County, AL",22786
1113,"Russell County, AL",58744
1115,"St. Clair County, AL",95552
1117,"Shelby County, AL",233000
1119,"Sumter County, AL",11727
1121,"Talladega County, AL",81132
1123,"Tallapoosa County, AL",40677
1125,"Tuscaloosa County, AL",237373
1127,"Walker County, AL",64728
1129,"Washington County, AL",15022
1131,"Wilcox County, AL",9944
1133,"Winston County, AL",23611
2000,"Alaska, AK",733406
2013,"Aleutians East Borough, AK",3461
2016,"Aleutians West Census Area, AK",5160
2020,"Anchorage Municipality, AK",286075
2050,"Bethel Census Area, AK",18224
2060,"Bristol Bay Borough, AK",844
2063,"Chugach Census Area, AK",6769
2066,"Copper River Census Area, AK",2674
2068,"Denali Borough, AK",1584
2070,"Dillingham Census Area, AK",4607
2090,"Fairbanks North Star Borough, AK",94840
2100,"Haines Borough, AK",2070
2105,"Hoonah-Angoon Census Area, AK",2262
2110,"Juneau City and Borough, AK",31555
2122,"Kenai Peninsula Borough, AK",61223
2130,"Ketchikan Gateway Borough, AK",13738
2150,"Kodiak Island Borough, AK",12565
2158,"Kusilvak Census Area, AK",8001
2164,"Lake and Peninsula Borough, AK",1331
2170,"Matanuska-Susitna Borough, AK",115239
2180,"Nome Census Area, AK",9763
2185,"North Slope Borough, AK",10603
2188,"Northwest Arctic Borough, AK",7361
2195,"Petersburg Borough, AK",3427
2198,"Prince of Wales-Hyder Census Area, AK",5696
2220,"Sitka City and Borough, AK",8282
2230,"Skagway Municipality, AK",1095
2240,"Southeast Fairbanks Census Area, AK",7077
2275,"Wrangell City and Borough, AK",2064
2282,"Yakutat City and Borough, AK",687
2290,"Yukon-Koyukuk Census Area, AK",5129
4000,"Arizona, AZ",7431344
4001,"Apache County, AZ",65036
4003,"Cochise County, AZ",124640
4005,"Coconino County, AZ",144472
4007,"Gila County, AZ",54003
4009,"Graham County, AZ",39525
4011,"Greenlee County, AZ",9369
4012,"La Paz County, AZ",16710
4013,"Maricopa County, AZ",4585871
4015,"Mohave County, AZ",223682
4017,"Navajo County, AZ",109175
4019,"Pima County, AZ",1063162
4021,"Pinal County, AZ",484239
4023,"Santa Cruz County, AZ",49158
4025,"Yavapai County, AZ",249081
4027,"Yuma County, AZ",213221
5000,"Arkansas, AR",3067732
5001,"Arkansas County, AR",16307
5003,"Ashley County, AR",18262
5005,"Baxter County, AR",42875
5007,"Benton County, AR",311013
5009,"Boone County, AR",38530
5011,"Bradley County, AR",10104
5013,"Calhoun County, AR",4641
5015,"Carroll County, AR",28814
5017,"Chicot County, AR",9538
5019,"Clark County, AR",21274
5021,"Clay County, AR",14201
5023,"Cleburne County, AR",25445
5025,"Cleveland County, AR",7378
5027,"Columbia County, AR",22150
5029,"Conway County, AR",21077
5031,"Craighead County, AR",113993
5033,"Crawford County, AR",61891
5035,"Crittenden County, AR",47139
5037,"Cross County, AR",16420
5039,"Dallas County, AR",6185
5041,"Desha County, AR",10479
5043,"Drew County, AR",16945
5045,"Faulkner County, AR",129951
5047,"Franklin County, AR",17468
5049,"Fulton County, AR",12421
5051,"Garland County, AR",99784
5053,"Grant County, AR",18383
5055,"Greene County, AR",46743
5057,"Hempstead County, AR",19343
5059,"Hot Spring County, AR",33258
5061,"Howard County, AR",12533
5063,"Independence County, AR",38320
5065,"Izard County, AR",14169
5067,"Jackson County, AR",16784
5069,"Jefferson County, AR",63661
5071,"Johnson County, AR",26129
5073,"Lafayette County, AR",6095
5075,"Lawrence County, AR",16318
5077,"Lee County, AR",8201
5079,"Lincoln County, AR",12898
5081,"Little River County, AR",11805
5083,"Logan County, AR",21400
5085,"Lonoke County, AR",75944
5087,"Madison County, AR",17775
5089,"Marion County, AR",17514
5091,"Miller County, AR",42415
5093,"Mississippi County, AR",38663
5095,"Monroe County, AR",6512
5097,"Montgomery County, AR",8620
5099,"Nevada County, AR",8120
5101,"Newton County, AR",7071
5103,"Ouachita County, AR",21793
5105,"Perry County, AR",10184
5107,"Phillips County, AR",14961
5109,"Pike County, AR",10208
5111,"Poinsett County, AR",22397
5113,"Polk County, AR",19436
5115,"Pope County, AR",64593
5117,"Prairie County, AR",8036
5119,"Pulaski County, AR",400009
5121,"Randolph County, AR",18907
5123,"St. Francis County, AR",22101
5125,"Saline County, AR",129574
5127,"Scott County, AR",9851
5129,"Searcy County, AR",7806
5131,"Sebastian County, AR",129098
5133,"Sevier County, AR",15632
5135,"Sharp County, AR",17968
5137,"Stone County, AR",12671
5139,"Union County, AR",37397
5141,"Van Buren County, AR",16142
